reduced,pcap,ratio,iter,Tstates,Ttransitions,Rstates,Rtransitions
sprobe.00002,geant.pcap,0.18,0,168,5108,31,1367
sprobe.00003,geant.pcap,0.18,1,168,5108,31,1367
sprobe.00004,geant.pcap,0.2,0,168,5108,34,1372
sprobe.00005,geant.pcap,0.2,1,168,5108,34,1372
sprobe.00006,geant.pcap,0.22,0,168,5108,37,1386
sprobe.00007,geant.pcap,0.22,1,168,5108,37,1386
sprobe.00008,geant.pcap,0.24,0,168,5108,41,1402
sprobe.00009,geant.pcap,0.24,1,168,5108,41,1402
sprobe.00010,geant.pcap,0.26,0,168,5108,44,1408
sprobe.00011,geant.pcap,0.26,1,168,5108,44,1408
sprobe.00012,geant.pcap,0.28,0,168,5108,48,1470
sprobe.00013,geant.pcap,0.28,1,168,5108,48,1470
sprobe.00014,geant.pcap,0.3,0,168,5108,51,1514
sprobe.00015,geant.pcap,0.3,1,168,5108,51,1514
sprobe.00016,geant.pcap,0.32,0,168,5108,54,1552
sprobe.00017,geant.pcap,0.32,1,168,5108,54,1552
web-activex.rules.00000,geant.pcap,0.02,0,43820,348349,877,2126
web-activex.rules.00001,geant.pcap,0.02,1,43820,348349,877,2126
web-activex.rules.00002,geant.pcap,0.03,0,43820,348349,1315,2958
web-activex.rules.00003,geant.pcap,0.03,1,43820,348349,1315,2958
web-activex.rules.00004,geant.pcap,0.04,0,43820,348349,1753,3799
web-activex.rules.00005,geant.pcap,0.04,1,43820,348349,1753,3799
web-activex.rules.00006,geant.pcap,0.05,0,43820,348349,2191,4530
web-activex.rules.00007,geant.pcap,0.05,1,43820,348349,2191,4530
web-activex.rules.00008,geant.pcap,0.06,0,43820,348349,2630,5408
web-activex.rules.00009,geant.pcap,0.06,1,43820,348349,2630,5408
web-activex.rules.00010,geant.pcap,0.07,0,43820,348349,3068,7148
web-activex.rules.00011,geant.pcap,0.07,1,43820,348349,3068,7148
web-activex.rules.00012,geant.pcap,0.08,0,43820,348349,3506,103701
web-activex.rules.00013,geant.pcap,0.08,1,43820,348349,3506,103701
web-activex.rules.00014,geant.pcap,0.09,0,43820,348349,3944,159565
web-activex.rules.00015,geant.pcap,0.09,1,43820,348349,3944,159565
web-activex.rules.00016,geant.pcap,0.1,0,43820,348349,4382,161024
web-activex.rules.00017,geant.pcap,0.1,1,43820,348349,4382,161024
imap.rules.00000,geant.pcap,0.04,0,5637,1348955,226,6159
imap.rules.00001,geant.pcap,0.04,1,5637,1348955,226,6159
imap.rules.00002,geant.pcap,0.06,0,5637,1348955,339,28045
imap.rules.00003,geant.pcap,0.06,1,5637,1348955,339,28045
imap.rules.00004,geant.pcap,0.08,0,5637,1348955,451,53391
imap.rules.00005,geant.pcap,0.08,1,5637,1348955,451,53391
imap.rules.00006,geant.pcap,0.1,0,5637,1348955,564,81709
imap.rules.00007,geant.pcap,0.1,1,5637,1348955,564,81709
imap.rules.00008,geant.pcap,0.12,0,5637,1348955,677,110528
imap.rules.00009,geant.pcap,0.12,1,5637,1348955,677,110528
imap.rules.00010,geant.pcap,0.14,0,5637,1348955,790,137385
imap.rules.00011,geant.pcap,0.14,1,5637,1348955,790,137385
imap.rules.00012,geant.pcap,0.16,0,5637,1348955,902,163934
imap.rules.00013,geant.pcap,0.16,1,5637,1348955,902,163934
imap.rules.00014,geant.pcap,0.18,0,5637,1348955,1015,190219
imap.rules.00015,geant.pcap,0.18,1,5637,1348955,1015,190219
imap.rules.00016,geant.pcap,0.2,0,5637,1348955,1128,216507
imap.rules.00017,geant.pcap,0.2,1,5637,1348955,1128,216507
backdoor.rules.00000,geant.pcap,0.1,0,3898,100024,390,2333
backdoor.rules.00001,geant.pcap,0.1,1,3898,100024,390,2333
backdoor.rules.00002,geant.pcap,0.1,2,3898,100024,390,2333
backdoor.rules.00003,geant.pcap,0.1,3,3898,100024,390,2333
backdoor.rules.00004,geant.pcap,0.12,0,3898,100024,468,2486
backdoor.rules.00005,geant.pcap,0.12,1,3898,100024,468,2486
backdoor.rules.00006,geant.pcap,0.12,2,3898,100024,468,2486
backdoor.rules.00007,geant.pcap,0.12,3,3898,100024,468,2483
backdoor.rules.00008,geant.pcap,0.14,0,3898,100024,546,5661
backdoor.rules.00009,geant.pcap,0.14,1,3898,100024,546,2778
backdoor.rules.00010,geant.pcap,0.14,2,3898,100024,546,2778
backdoor.rules.00011,geant.pcap,0.14,3,3898,100024,546,2775
backdoor.rules.00012,geant.pcap,0.16,0,3898,100024,624,10379
backdoor.rules.00013,geant.pcap,0.16,1,3898,100024,624,7550
backdoor.rules.00014,geant.pcap,0.16,2,3898,100024,624,7558
backdoor.rules.00015,geant.pcap,0.16,3,3898,100024,624,7557
backdoor.rules.00016,geant.pcap,0.18,0,3898,100024,702,15096
backdoor.rules.00017,geant.pcap,0.18,1,3898,100024,702,7727
backdoor.rules.00018,geant.pcap,0.18,2,3898,100024,702,7735
backdoor.rules.00019,geant.pcap,0.18,3,3898,100024,702,7739
backdoor.rules.00020,geant.pcap,0.2,0,3898,100024,780,15282
backdoor.rules.00021,geant.pcap,0.2,1,3898,100024,780,8166
backdoor.rules.00022,geant.pcap,0.2,2,3898,100024,780,8669
backdoor.rules.00023,geant.pcap,0.2,3,3898,100024,780,8668
backdoor.rules.00024,geant.pcap,0.22,0,3898,100024,858,15454
backdoor.rules.00025,geant.pcap,0.22,1,3898,100024,858,9167
backdoor.rules.00026,geant.pcap,0.22,2,3898,100024,858,9170
backdoor.rules.00027,geant.pcap,0.22,3,3898,100024,858,9171
backdoor.rules.00028,geant.pcap,0.24,0,3898,100024,936,17675
backdoor.rules.00029,geant.pcap,0.24,1,3898,100024,936,10126
backdoor.rules.00030,geant.pcap,0.24,2,3898,100024,936,10179
backdoor.rules.00031,geant.pcap,0.24,3,3898,100024,936,10196
backdoor.rules.00032,geant.pcap,0.26,0,3898,100024,1014,17862
backdoor.rules.00033,geant.pcap,0.26,1,3898,100024,1014,11426
backdoor.rules.00034,geant.pcap,0.26,2,3898,100024,1014,10668
backdoor.rules.00035,geant.pcap,0.26,3,3898,100024,1014,10659
backdoor.rules.00036,geant.pcap,0.28,0,3898,100024,1092,20129
backdoor.rules.00037,geant.pcap,0.28,1,3898,100024,1092,12488
backdoor.rules.00038,geant.pcap,0.28,2,3898,100024,1092,12477
backdoor.rules.00039,geant.pcap,0.28,3,3898,100024,1092,12499
backdoor.rules.00040,geant.pcap,0.3,0,3898,100024,1170,21403
backdoor.rules.00041,geant.pcap,0.3,1,3898,100024,1170,14192
backdoor.rules.00042,geant.pcap,0.3,2,3898,100024,1170,13960
backdoor.rules.00043,geant.pcap,0.3,3,3898,100024,1170,13957
spyware-put.rules.00000,geant.pcap,0.18,0,12809,279275,2306,34438
spyware-put.rules.00001,geant.pcap,0.18,1,12809,279275,2306,62848
spyware-put.rules.00002,geant.pcap,0.18,2,12809,279275,2306,83096
spyware-put.rules.00003,geant.pcap,0.18,3,12809,279275,2306,83369
spyware-put.rules.00004,geant.pcap,0.2,0,12809,279275,2562,100038
spyware-put.rules.00005,geant.pcap,0.2,1,12809,279275,2562,86537
spyware-put.rules.00006,geant.pcap,0.2,2,12809,279275,2562,86469
spyware-put.rules.00007,geant.pcap,0.2,3,12809,279275,2562,86472
spyware-put.rules.00008,geant.pcap,0.22,0,12809,279275,2818,115343
spyware-put.rules.00009,geant.pcap,0.22,1,12809,279275,2818,87554
spyware-put.rules.00010,geant.pcap,0.22,2,12809,279275,2818,87831
spyware-put.rules.00011,geant.pcap,0.22,3,12809,279275,2818,87837
spyware-put.rules.00012,geant.pcap,0.24,0,12809,279275,3075,115857
spyware-put.rules.00013,geant.pcap,0.24,1,12809,279275,3075,89173
spyware-put.rules.00014,geant.pcap,0.24,2,12809,279275,3075,90628
spyware-put.rules.00015,geant.pcap,0.24,3,12809,279275,3075,90630
spyware-put.rules.00016,geant.pcap,0.26,0,12809,279275,3331,122589
spyware-put.rules.00017,geant.pcap,0.26,1,12809,279275,3331,94261
spyware-put.rules.00018,geant.pcap,0.26,2,12809,279275,3331,95000
spyware-put.rules.00019,geant.pcap,0.26,3,12809,279275,3331,95012
spyware-put.rules.00020,geant.pcap,0.28,0,12809,279275,3587,160254
spyware-put.rules.00021,geant.pcap,0.28,1,12809,279275,3587,98363
spyware-put.rules.00022,geant.pcap,0.28,2,12809,279275,3587,99918
spyware-put.rules.00023,geant.pcap,0.28,3,12809,279275,3587,99990
spyware-put.rules.00024,geant.pcap,0.3,0,12809,279275,3843,165320
spyware-put.rules.00025,geant.pcap,0.3,1,12809,279275,3843,104003
spyware-put.rules.00026,geant.pcap,0.3,2,12809,279275,3843,110516
spyware-put.rules.00027,geant.pcap,0.3,3,12809,279275,3843,111115
spyware-put.rules.00028,geant.pcap,0.32,0,12809,279275,4099,166042
spyware-put.rules.00029,geant.pcap,0.32,1,12809,279275,4099,112394
spyware-put.rules.00030,geant.pcap,0.32,2,12809,279275,4099,113231
spyware-put.rules.00031,geant.pcap,0.32,3,12809,279275,4099,114493
l7-all.00000,geant.pcap,0.24,0,7280,2647220,1748,805522
l7-all.00001,geant.pcap,0.24,1,7280,2647220,1748,842283
l7-all.00002,geant.pcap,0.24,2,7280,2647220,1748,834484
l7-all.00003,geant.pcap,0.24,3,7280,2647220,1748,835521
l7-all.00004,geant.pcap,0.26,0,7280,2647220,1893,928339
