reduced,pcap,total,fp_a,pp_a,fp_c,pp_c,all_c
sprobe.00002,meter4-1.pcap5,799025,43394,47,43394,47,47027
sprobe.00002,meter4-0.pcap2,1742506,61531,55,61561,25,70698
sprobe.00002,geant2.pcap7,964354,48185,34,48189,30,55059
sprobe.00002,geant2.pcap10,960281,49874,36,49882,28,57389
sprobe.00002,geant.pcap8,1009741,53892,40,53898,34,65263
sprobe.00002,week4.pcap,2936734,149411,43255,151667,40999,182158
sprobe.00002,meter4-1.pcap8,745927,23976,28,23977,27,26190
sprobe.00002,geant.pcap10,1011021,50900,54,50903,51,61913
sprobe.00002,week2.pcap,3396559,398215,43403,401173,40445,484652
sprobe.00002,meter4-1.pcap2,789181,38977,21,38978,20,42149
sprobe.00002,geant2.pcap6,955868,49995,36,50003,28,57625
sprobe.00002,geant2.pcap14,961096,54447,33,54453,27,63691
sprobe.00002,meter4-0.pcap3,1753620,60184,69,60217,36,69931
sprobe.00002,meter4-1.pcap7,807404,40771,52,40773,50,44344
sprobe.00002,geant2.pcap,988380,46468,41,46477,32,53629
sprobe.00002,geant2.pcap1,976333,50477,52,50483,46,58361
sprobe.00002,geant.pcap4,983768,57205,31,57215,21,70007
sprobe.00002,geant.pcap11,999304,51961,107,51963,105,63509
sprobe.00002,geant2.pcap9,976851,50219,49,50226,42,57501
sprobe.00002,meter4-0.pcap1,1796962,60964,49,60984,29,69819
sprobe.00002,meter4-1.pcap13,689056,28053,35,28056,32,30436
sprobe.00002,geant.pcap7,1011099,51491,39,51495,35,62353
sprobe.00002,meter4-1.pcap9,765722,29711,26,29713,24,32684
sprobe.00002,geant.pcap2,1012274,55872,33,55877,28,65476
sprobe.00002,geant.pcap,997372,55671,33,55677,27,64625
sprobe.00002,geant2.pcap11,961934,49310,58,49327,41,56292
sprobe.00002,meter4-1.pcap6,798238,40253,60,40253,60,43572
sprobe.00002,geant.pcap1,1010263,54936,32,54939,29,63373
sprobe.00002,meter4-1.pcap12,772602,31581,55,31583,53,34420
sprobe.00002,meter4-0.pcap,1903161,61929,42,61934,37,70732
sprobe.00002,geant2.pcap8,964090,50345,42,50346,41,58394
sprobe.00002,geant.pcap9,1009096,51270,62,51275,57,62066
sprobe.00002,meter4-1.pcap1,707360,14802,15,14804,13,16224
sprobe.00002,meter4-1.pcap4,818023,43898,65,43899,64,48152
sprobe.00002,geant.pcap6,1011471,52419,28,52419,28,63813
sprobe.00002,meter4-1.pcap11,735490,25754,36,25756,34,28296
sprobe.00002,geant.pcap3,1010584,54341,53,54351,43,65619
sprobe.00002,meter4-1.pcap,695014,12939,15,12939,15,14132
sprobe.00002,geant.pcap5,995278,54146,30,54148,28,65175
sprobe.00002,week1.pcap,3080841,363698,43163,366725,40136,440041
sprobe.00002,geant2.pcap2,973090,54218,40,54223,35,62908
sprobe.00002,meter4-0.pcap4,1018397,35648,35,35669,14,41927
sprobe.00002,geant2.pcap16,971348,53519,53,53523,49,61977
sprobe.00002,meter4-1.pcap3,803664,52983,58,52983,58,58320
sprobe.00002,week3.pcap,2339995,186181,56916,190194,52903,236720
sprobe.00002,geant2.pcap13,960480,51028,31,51029,30,59146
sprobe.00002,geant2.pcap12,957516,50693,58,50705,46,58808
sprobe.00002,meter4-1.pcap10,770483,30972,39,30974,37,34330
sprobe.00002,geant2.pcap4,988627,48955,44,48958,41,56300
sprobe.00002,geant2.pcap3,977938,51960,34,51963,31,59908
sprobe.00002,geant2.pcap17,924753,49988,40,49990,38,58149
sprobe.00002,geant.pcap12,990801,54529,60,54540,49,66257
sprobe.00002,geant2.pcap5,973778,49457,49,49465,41,56338
