automaton,pcap,ratio,th,fm,merged,states,trans
sprobe.00000,None,0.14,NA,NA,0,24,2292
sprobe.00001,None,0.16,NA,NA,0,27,2304
sprobe.00002,None,0.18,NA,NA,0,30,2306
sprobe.00003,None,0.2,NA,NA,0,34,2312
sprobe.00004,None,0.22,NA,NA,0,37,2323
sprobe.00005,None,0.24,NA,NA,0,40,2325
sprobe.00006,None,0.26,NA,NA,0,44,2330
sprobe.00007,None,0.28,NA,NA,0,47,2332
sprobe.00008,None,0.3,NA,NA,0,50,2336
sprobe.00009,geant2.pcap,0.14,NA,NA,0,24,2292
sprobe.00010,geant2.pcap,0.16,NA,NA,0,27,2294
sprobe.00011,geant2.pcap,0.18,NA,NA,0,30,2298
sprobe.00012,geant2.pcap,0.2,NA,NA,0,34,2308
sprobe.00013,geant2.pcap,0.22,NA,NA,0,37,2320
sprobe.00014,geant2.pcap,0.24,NA,NA,0,40,2332
sprobe.00015,geant2.pcap,0.26,NA,NA,0,44,2338
sprobe.00016,geant2.pcap,0.28,NA,NA,0,47,2343
sprobe.00017,geant2.pcap,0.3,NA,NA,0,50,2374
sprobe.00018,geant2.pcap,0.14,0.995,0.1,36,25,2294
sprobe.00019,geant2.pcap,0.16,0.995,0.1,36,29,2296
sprobe.00020,geant2.pcap,0.18,0.995,0.1,36,33,2308
sprobe.00021,geant2.pcap,0.2,0.995,0.1,36,36,2320
sprobe.00022,geant2.pcap,0.22,0.995,0.1,36,40,2332
sprobe.00023,geant2.pcap,0.24,0.995,0.1,36,44,2338
sprobe.00024,geant2.pcap,0.26,0.995,0.1,36,47,2362
sprobe.00025,geant2.pcap,0.28,0.995,0.1,36,51,2380
sprobe.00026,geant2.pcap,0.3,0.995,0.1,36,54,2708
backdoor.rules.00000,None,0.14,NA,NA,0,546,19414
backdoor.rules.00001,None,0.16,NA,NA,0,624,19531
backdoor.rules.00002,None,0.18,NA,NA,0,702,19737
backdoor.rules.00003,None,0.2,NA,NA,0,780,20419
backdoor.rules.00004,None,0.22,NA,NA,0,858,21638
backdoor.rules.00005,None,0.24,NA,NA,0,936,22557
backdoor.rules.00006,None,0.26,NA,NA,0,1013,28624
backdoor.rules.00007,None,0.28,NA,NA,0,1091,29283
backdoor.rules.00008,None,0.3,NA,NA,0,1169,31085
backdoor.rules.00009,geant2.pcap,0.14,NA,NA,0,546,22454
backdoor.rules.00010,geant2.pcap,0.16,NA,NA,0,624,25560
backdoor.rules.00011,geant2.pcap,0.18,NA,NA,0,702,27574
backdoor.rules.00012,geant2.pcap,0.2,NA,NA,0,780,28020
backdoor.rules.00013,geant2.pcap,0.22,NA,NA,0,858,28141
backdoor.rules.00014,geant2.pcap,0.24,NA,NA,0,936,30308
backdoor.rules.00015,geant2.pcap,0.26,NA,NA,0,1013,31004
backdoor.rules.00016,geant2.pcap,0.28,NA,NA,0,1091,31978
backdoor.rules.00017,geant2.pcap,0.3,NA,NA,0,1169,32688
backdoor.rules.00018,geant2.pcap,0.14,0.995,0.1,184,547,19755
backdoor.rules.00019,geant2.pcap,0.16,0.995,0.1,184,625,20312
backdoor.rules.00020,geant2.pcap,0.18,0.995,0.1,184,703,20451
backdoor.rules.00021,geant2.pcap,0.2,0.995,0.1,184,782,21600
backdoor.rules.00022,geant2.pcap,0.22,0.995,0.1,184,860,22042
backdoor.rules.00023,geant2.pcap,0.24,0.995,0.1,184,938,22314
backdoor.rules.00024,geant2.pcap,0.26,0.995,0.1,184,1016,22487
backdoor.rules.00025,geant2.pcap,0.28,0.995,0.1,184,1094,23908
backdoor.rules.00026,geant2.pcap,0.3,0.995,0.1,184,1172,24596
backdoor.rules.00027,geant2.pcap,0.18,0.2,0.1,369,709,21782
backdoor.rules.00028,geant2.pcap,0.18,0.2,0.228571428571,372,710,21777
backdoor.rules.00029,geant2.pcap,0.18,0.2,0.357142857143,372,710,21777
backdoor.rules.00030,geant2.pcap,0.18,0.2,0.485714285714,372,710,21777
backdoor.rules.00031,geant2.pcap,0.18,0.2,0.614285714286,372,710,21777
backdoor.rules.00032,geant2.pcap,0.18,0.2,0.742857142857,372,710,21777
backdoor.rules.00033,geant2.pcap,0.18,0.2,0.871428571429,381,710,21770
backdoor.rules.00034,geant2.pcap,0.18,0.2,1.0,381,710,21770
backdoor.rules.00035,geant2.pcap,0.18,0.288333333333,0.1,348,708,21479
backdoor.rules.00036,geant2.pcap,0.18,0.288333333333,0.228571428571,350,709,21734
backdoor.rules.00037,geant2.pcap,0.18,0.288333333333,0.357142857143,350,709,21734
backdoor.rules.00038,geant2.pcap,0.18,0.288333333333,0.485714285714,350,709,21734
backdoor.rules.00039,geant2.pcap,0.18,0.288333333333,0.614285714286,350,709,21734
backdoor.rules.00040,geant2.pcap,0.18,0.288333333333,0.742857142857,350,709,21734
backdoor.rules.00041,geant2.pcap,0.18,0.288333333333,0.871428571429,356,709,21698
backdoor.rules.00042,geant2.pcap,0.18,0.288333333333,1.0,356,709,21698
backdoor.rules.00043,geant2.pcap,0.18,0.376666666667,0.1,344,708,21481
backdoor.rules.00044,geant2.pcap,0.18,0.376666666667,0.228571428571,346,708,21473
backdoor.rules.00045,geant2.pcap,0.18,0.376666666667,0.357142857143,346,708,21473
backdoor.rules.00046,geant2.pcap,0.18,0.376666666667,0.485714285714,346,708,21473
backdoor.rules.00047,geant2.pcap,0.18,0.376666666667,0.614285714286,346,708,21473
backdoor.rules.00048,geant2.pcap,0.18,0.376666666667,0.742857142857,346,708,21473
backdoor.rules.00049,geant2.pcap,0.18,0.376666666667,0.871428571429,346,708,21473
backdoor.rules.00050,geant2.pcap,0.18,0.376666666667,1.0,346,708,21473
backdoor.rules.00051,geant2.pcap,0.18,0.465,0.1,336,708,21470
backdoor.rules.00052,geant2.pcap,0.18,0.465,0.228571428571,337,708,21471
backdoor.rules.00053,geant2.pcap,0.18,0.465,0.357142857143,337,708,21471
